bio1,bio12,tconmean,lenferr,lenroadr,urbr,popdi,numazr,redre,coorx,coory,fnat,frob,nocom,noreg,areagis_ha,popde,shdi
12.4,765,21.1,0.114932213,2.145162772,0,0.145838769,12.1,11125,412391,4981265,0,0,Riva presso Chieri,Piemonte,3583.176106,108,0.379661813
12.06666667,829.6666667,20.86666667,0.116887123,4.501627558,0.362466125,0.01783419,7.47,13018,383770,4991425,0.03,0.056854623,Rivoli,Piemonte,2949.977704,1717,1.830857536
11.5,853,20.5,0,2.765192359,0.002417405,0.231484927,4.53,11829,392779,5020141,0.09,0.234865462,Rivara,Piemonte,1258.381292,209,1.469564334
11.78,812.8,20.9,0,2.979625364,0.022914757,0.736024845,4.38,11239,412679,4997208,0.33,0.161555929,Rivalba,Piemonte,1083.335201,91,0.987927629
11.65714286,848.2857143,20.78571429,0,1.916130012,0.122789784,0.123956594,4.72,10684,405964,5019366,0,0.162622703,San Giorgio Canavese,Piemonte,2040.490873,122,1.4544019
10.75,861,20,0,3.510407352,0.074418605,0.213178295,1.42,10393,403545,5030078,0,0.325293586,Strambinello,Piemonte,221.4021214,122,0.635073907
12.5375,840.25,21.825,0.332937914,8.224503891,0.581239917,0.001537105,7.54,14272,395934,4991770,0.02,0.035345987,Torino,Piemonte,13000.91164,6931,1.945682186
11,856,20.2,0,3.407773148,0.309090909,0.176751592,0.82,11036,403153,5027897,0.5,0.235071959,Torre Canavese,Piemonte,545.4535949,112,0.871685195
11.7,848,20.8,0,3.798538312,0.103626943,0.003896104,5.21,10662,406497,5016756,0,0.089179462,San Giusto Canavese,Piemonte,961.3190868,326,1.522114019
11.85,841.5,20.85,0,2.819455253,0,0.252336449,8.75,11162,419680,5015964,0,0.160450868,Villareggia,Piemonte,1140.91026,88,1.114084773
11.55,865,20.6,0,2.835409794,0,0.102923977,6.43,8956,425832,5022298,0,0.188781093,Borgo d'Ale,Piemonte,3957.067312,67,1.60767876
11.2,854,20.3,0,2.972825398,0.015353122,0.059585492,3.57,10689,406766,5027730,0.22,0.196236202,San Martino Canavese,Piemonte,979.3328281,83,0.998830295
11.8,866,20.9,0.193168599,2.482189589,0.014277556,0.071221931,8.06,11545,392860,5006573,0,0.028885737,San Maurizio Canavese,Piemonte,1734.420394,435,1.573528856
11.5,810,19.9,0,1.698517102,0.001828154,0.407119354,3.35,11808,374346,4987396,0,0.085633827,Trana,Piemonte,1640.590343,217,1.185266653
12.3,826,21.5,0,3.75251227,0.333067729,0.031206151,2.59,13716,402892,4995160,0.23,0.095787822,San Mauro Torinese,Piemonte,1255.168668,1464,1.647522332
10.5,865,19.83333333,0,1.934910415,0.009493671,0.312260536,0.99,8023,402091,5031308,0.67,0.100380766,Vidracco,Piemonte,296.7706079,171,1.210234615
12.48,794,21.2,0.751230335,4.61617782,0.503246753,0.016808346,4.35,12159,401009,4980935,0,0.021542822,Trofarello,Piemonte,1234.754953,900,1.236301549
12.8,775,21.1,0.181267697,2.568616968,0.304878049,0.043094161,6.61,10755,400584,4974453,0,0.013372441,Villastellone,Piemonte,1987.6661,245,0.729086008
11.8,923,20.5,0.244626676,1.36179795,0,0.18086225,26.48,11200,442465,5037011,0,0.028778671,Buronzo,Piemonte,2507.755428,39,0.495799407
12,821,21.2,0,2.614022254,0.089525515,0.337122558,5.09,11671,410051,5000488,0.3,0.197112626,San Raffaele Cimena,Piemonte,1115.201102,263,1.638334434
12.2,810,21.1,0.235028588,2.653714239,0.230769231,0.498604132,6.72,10468,416987,5001257,0.2,0.14495735,San Sebastiano da Po,Piemonte,1657.662993,113,1.54980161
12.9,801,21.4,0.127776298,3.49218883,0.169875425,0.016536313,6.74,12786,391858,4978908,0,0.002351066,Vinovo,Piemonte,1769.405761,768,1.456973704
11.575,855,20.6,0,3.497892448,0.005945303,0.235138705,7.7,12051,388324,5005088,0,0.035834227,Robassomero,Piemonte,857.5609699,364,1.686776805
10.3,854,19.5,0,2.404235538,0.264084507,0.6617737,2.22,10661,388290,5018221,0.36,0.136753763,Rocca Canavese,Piemonte,1419.117414,118,1.247806765
10.75,841.5,19.75,0,1.047268798,0.008165487,0.512326438,5.17,11172,377956,5001255,0.11,0.031816303,Val della Torre,Piemonte,3652.529914,100,1.975966075
11.3,849.3333333,20.33333333,0.193978856,1.928516608,0.253164557,0.134653465,3.48,10413,386002,5010271,0,0.095469657,Villanova Canavese,Piemonte,403.0625539,260,1.311998967
10.8,810,19.2,0.037942573,2.880182534,0.040899796,0.701604814,4.61,12565,368618,4975516,0.18,0.077226682,Roletto,Piemonte,970.3888341,206,1.715756519
11.7,849,20.7,0.094571351,3.164789847,0.002673797,0.010873259,4.93,11018,411601,5028011,0,0.078898542,Romano Canavese,Piemonte,1121.064935,263,1.232035812
12.7,780,21.3,0.093449832,3.745289289,0.120296114,0.066836785,3.38,10697,403985,4977472,0,0.016680763,Santena,Piemonte,1619.832986,636,1.257640906
11.025,851,20.15,0.284787182,4.137957874,0.000848176,0.281170483,3.78,12600,395054,5024710,0.18,0.106974323,Valperga,Piemonte,1190.935867,264,1.448702345
